"","pc1","pc2","pc3","pc4"
"Amaurospiza_concolor",-1.58746754483721,0.415696842315833,-0.923773983512852,-0.473379751675413
"Amaurospiza_moesta",-0.986249637246448,0.436199494387013,-1.49889816975937,-0.520079702056605
"Cardinalis_cardinalis",3.82866947541558,0.917269274869639,-1.32553103650822,-0.764052763437513
"Cardinalis_phoeniceus",3.22336383116767,1.33342691498257,-1.54888750899493,-0.270263199942106
"Cardinalis_sinuatus",2.99240226888567,0.430313260083067,-1.25869269058069,-1.63491943428253
"Caryothraustes_canadensis",2.52009556087042,1.33151042259556,-0.857035726531601,-0.452816875008875
"Caryothraustes_poliogaster",2.89730353924753,0.988272304886023,-0.854747508303066,-0.420074674434831
"Chlorothraupis_carmioli",2.80247043782027,0.754209239319446,-0.764392753772783,0.619104729592686
"Chlorothraupis_olivacea",2.83422857205318,0.850162529796484,-0.613138442481175,0.282797763682521
"Chlorothraupis_stolzmanni",2.95100979356422,0.786773574791112,-0.787692823292271,0.45522443023794
"Cyanocompsa_brissonii",1.63333874738462,1.21746765351346,-1.51747218467957,-0.441641199713315
"Cyanocompsa_cyanoides",2.69538916836306,1.83837453454372,-1.79154558765816,0.302832291150968
"Cyanocompsa_parellina",-0.570155259031678,0.360226437985311,-1.35551119189716,-0.439203938707629
"Cyanoloxia_glaucocaerulea",-0.0861373350865984,0.623712583816445,-0.929493603816166,-1.05746740492079
"Granatellus_pelzelni",-2.47937196781228,-0.783984871376156,-1.08416033514121,0.0400095367509855
"Granatellus_sallaei",-1.8058918364933,-1.07682581003269,-0.891579747724069,0.215211163578334
"Granatellus_venustus",-1.13466815738768,-1.43027654281221,-0.959041467627537,-0.311441161200321
"Habia_atrimaxillaris",3.30801639150179,-0.227212939185192,-0.75003189054225,-0.112774501478317
"Habia_cristata",3.4007988318515,-0.0959421262916391,-0.768063617509694,-0.227812377520254
"Habia_fuscicauda",3.30494341854019,-0.270364492275,-1.15143493774515,-0.249728280876045
"Habia_gutturalis",3.25583070316155,-0.105543245480363,-0.774563067867786,-0.534450992515869
"Habia_rubica",2.59548532062793,0.040088911049175,-0.508117413327784,-0.48912242915183
"Parkerthraustes_humeralis",2.40755873585332,1.44309164834678,0.0489924498078454,0.181769626546786
"Periporphyrus_erythromelas",4.09186982195539,1.72666997689634,-0.901551223538742,-0.317956992823594
"Pheucticus_aureoventris",5.10183548736599,1.9051770083132,-0.41386146326457,-0.0760063429404564
"Pheucticus_chrysogaster",4.81286958822673,1.7717431239253,-0.543470509496665,-0.0930060943329185
"Pheucticus_chrysopeplus",5.3907913362121,1.91555849790352,-0.643883545853679,-0.30987884988264
"Pheucticus_ludovicianus",3.16060433854337,1.761870752133,0.526793887444875,-0.566667191645479
"Pheucticus_melanocephalus",3.46231106475172,1.67625487392777,0.11664380663321,-0.318810916688797
"Pheucticus_tibialis",4.84998021685144,2.27489992823718,-0.308056847998492,-0.149720158463003
"Piranga_bidentata",3.07143182081417,0.714980212909821,0.290134774294931,-0.132632752554666
"Piranga_erythrocephala",0.245206936370409,0.540156131437723,-0.669180156967143,-0.480953934362476
"Piranga_flava",2.93577448638273,1.35054891153192,0.264632273945674,0.132956868862965
"Piranga_leucoptera",0.237281454314949,0.883624091247082,-0.315598909020868,0.190959188623249
"Piranga_ludoviciana",1.76681787412768,0.713649220197055,1.35941232329417,-0.111626350600332
"Piranga_olivacea",1.79303987432113,1.44433071567812,1.48717928773931,0.101320318547324
"Piranga_roseogularis",1.39088755595131,0.962213490662049,-0.777163252195694,-0.205208740050052
"Piranga_rubra",2.35062845772437,1.69027360897965,1.04056182344121,0.121880861455658
"Piranga_rubriceps",2.69944023183233,0.650567607775216,0.133222582269179,-0.622311857403298
"Rhodothraupis_celaeno",4.01722098286331,0.536452750571634,-1.13758807308089,-0.786182465394791
"Saltator_albicollis",3.88918923106027,1.03841852028352,-0.287327164395868,-0.22197358375167
"Saltator_atriceps",6.02118036636198,0.450684064525767,-1.18100754599185,-0.492461676280809
"Saltator_atricollis",3.78750935058191,0.0301320544411702,-1.37245872814983,-0.255398636371095
"Saltator_atripennis",4.35106098882244,0.440671160541749,-1.46700847296811,-0.655211500399669
"Saltator_aurantiirostris",4.33969484611495,0.608449945017924,-1.13661111873426,-0.511123048426078
"Saltator_cinctus",4.33675166528107,0.763991732029819,-0.93973337047803,-0.950143645607277
"Saltator_coerulescens",4.4498551967614,0.410052647182965,-1.27173502572336,-0.451018907823991
"Saltator_fuliginosus",5.41928972570344,1.22119912202168,-1.6932417977388,-0.0665847235150983
"Saltator_grossus",4.06777555973431,1.53896741947182,-0.960283881342974,-0.345993480477257
"Saltator_maxillosus",4.11002693546362,0.821030202657104,-1.49193520373874,-0.999876800660409
"Saltator_maximus",3.90308802840672,0.63835496171232,-0.911575569830657,-0.220957053958855
"Saltator_nigriceps",5.76720343192486,0.799256852291591,-1.33315605625113,-0.151141979353829
"Saltator_orenocensis",2.93164996487988,1.02551399355707,-1.0385781795277,-0.357622501712523
"Saltator_rufiventris",4.88024492737591,-0.0705373128140598,-0.694026935919883,-1.43038383291503
"Saltator_similis",3.8009076471733,0.396960219582978,-1.07281852684019,-0.635010030699252
"Saltator_striatipectus",3.61062764757413,0.602281028059532,-1.33198000345962,-0.448579550844936
"Spiza_americana",0.558032498144106,0.622859341635664,0.78762416679052,0.0486204097629726
"Acanthidops_bairdii",-0.593531503717327,-0.905528589626126,-0.312393714125573,0.918509884399954
"Aimophila_aestivalis",-1.14331960681368,0.037084807901001,-0.83263793769363,-0.222403611613172
