pc1,pc2,pc3,pc4
-2.732150648,1.035771741,-1.760035879,-1.73096185
-0.393170628,-0.40134271,0.032429514,-1.964725177
-2.142459263,-0.294512155,-0.739185582,-0.45934826
1.979019196,-0.899959338,-1.548522129,-0.609100622
4.206839032,-0.325101513,1.655760895,-1.884570942
3.766319299,-1.042406664,0.933633115,-2.043852161
1.753664339,-0.808805064,0.586220241,-2.389591153
2.609105676,-0.310823442,0.11938697,-1.804558494
1.657078153,-0.224579678,0.655412673,-2.099149559
2.721783002,-0.645514227,-1.283842006,-1.499364752
0.848645389,-0.167065636,-0.757339151,-1.685082132
0.149292205,-1.551560973,1.64411953,-0.772329537
3.324808411,-2.26510517,0.777219013,0.097340401
0.269241915,-0.402868058,0.421178916,-0.776882951
-0.78299818,0.277137025,-0.329485369,-1.226500129
2.809735728,-0.653104893,0.067578137,-1.616726309
2.351568267,-0.599646065,-0.038350254,-1.647146902
1.13662967,0.616431139,0.713879214,-1.108914624
2.070167057,-1.586636519,1.51493482,-1.306298627
0.902256564,-0.718965156,1.736024708,-0.591619529
2.296093771,-1.856442999,0.817411274,-0.068480461
0.554295052,-0.923569056,1.090476216,-0.388535487
1.586040338,-0.752804965,0.781721677,-0.924823272
1.263940744,-0.82852047,0.531291301,-0.942066378
1.235036064,-1.490766007,0.843058068,-1.037653412
0.961395025,-1.084985676,0.896335246,-0.90223603
-0.022057426,-2.402585072,2.720648577,-0.944310868
1.130027808,-2.094879988,2.537184038,-0.925202582
1.286905507,-2.117717627,2.484199514,-0.614951827
1.705674467,-2.31206676,2.581394161,-0.53055822
0.392806437,-1.400004671,0.762433821,-0.604572942
2.245947666,-0.984469124,1.03772911,-0.427463915
0.630641653,-0.874621644,1.412826721,-0.452397665
2.481776112,-1.851196211,1.977916514,0.23673343
3.57904682,-1.120863832,1.900034474,-0.093987895
3.957130994,-0.55559422,1.360606724,-0.319094409
3.539918693,-0.127778737,1.079326105,0.182581306
-1.635093149,-1.704208912,0.764803035,-0.951926906
-1.721541232,-1.249784618,0.747911721,-1.284270225
0.370275082,-1.527967543,0.408990262,-0.846429832
-0.51433339,-1.700310444,1.5101184,-1.543055957
1.628784479,-1.113095166,1.289681494,-0.936012583
0.3195634,-2.100359573,0.506627676,-1.173728066
6.402997727,-1.720661507,0.086246316,-1.064977773
6.630160876,-0.390784486,1.101338907,-0.181164967
4.43231647,-0.792668733,1.934256374,-1.007667003
5.702366386,-1.604390636,1.169605026,-1.166946859
4.616437465,-0.154408153,2.255022782,-1.3500916
5.793104661,-0.617802851,1.967001365,-0.758442521
3.687791809,-0.666190641,0.282296799,-0.84196473
4.736516951,0.203756751,0.090502347,-0.646664403
3.325755647,-1.302888668,0.260825583,-0.985453422
5.299715222,-0.385548017,2.214761404,-0.703031694
0.877883847,-0.639852804,0.621489014,-1.349371073
6.303501927,-0.102071601,1.622877505,-0.118811124
-1.2183548,-0.163705175,0.127914362,-1.664053442
2.114724451,-0.818250902,0.930788675,-1.211751976
2.943271851,-0.072252386,0.494763255,-1.204077192
1.128737148,0.429909627,0.323273028,-0.795874861
3.767406247,-1.140253113,1.460477582,-0.629841746
3.166989727,0.375812491,0.60390063,-0.375251464
1.97311727,-1.190453484,0.872306058,-1.681480182
0.035503273,-1.06965245,1.819500853,-1.334625909
2.401751587,-0.916562292,0.916514633,0.696963026
1.379290627,-1.568346473,0.611683722,-0.175717745
0.482175776,-0.401595524,1.927586914,-0.922736914
2.128614149,0.156415381,-0.179716181,-0.927982834
2.808132798,-2.038345775,0.753548998,-1.133693187
1.762818655,0.344326341,1.039672066,-1.122970229
3.23576989,-1.063076905,-0.309952056,-0.600098978
